,317_S_hi_i_hi,317_S_hi_i_lo,317_T_hi_i_hi,317_T_hi_i_lo,348_S_hi_i_hi,348_S_hi_i_lo,348_T_hi_i_hi,348_T_hi_i_lo,352_S_hi_i_hi,352_S_hi_i_lo,352_T_hi_i_hi,352_T_hi_i_lo,357_S_hi_i_hi,357_S_hi_i_lo,357_T_hi_i_lo,361_S_hi_i_hi,361_S_hi_i_lo,361_T_hi_i_hi,361_T_hi_i_lo,362_S_hi_i_hi,362_S_hi_i_lo,362_T_hi_i_hi,362_T_hi_i_lo,368_S_hi_i_hi,368_S_hi_i_lo,368_T_hi_i_hi,368_T_hi_i_lo,369_S_hi_i_hi,369_S_hi_i_lo,369_T_hi_i_hi,369_T_hi_i_lo,372_S_hi_i_hi,372_S_hi_i_lo,372_T_hi_i_hi,380_S_hi_i_hi,380_S_hi_i_lo,380_T_hi_i_hi,380_T_hi_i_lo,383_S_hi_i_hi,383_S_hi_i_lo,383_T_hi_i_hi,387_S_hi_i_hi,387_S_hi_i_lo,387_T_hi_i_hi,387_T_hi_i_lo,388_S_hi_i_hi,388_S_hi_i_lo,388_T_hi_i_hi,388_T_hi_i_lo,390_S_hi_i_lo,390_T_hi_i_hi,390_T_hi_i_lo,417_S_hi_i_hi,417_S_hi_i_lo,417_T_hi_i_hi,417_T_hi_i_lo
Immune  unassigned,74,38,1,9,9,23,79,2,32,21,1,0,6,0,1,11,1,4,7,226,4,6,1,2,1,10,4,2,1,1,2,2,9,5,17,3,18,407,7,9,33,13,2,6,1,8,4,1,3,32,5,0,4,5,8,3
Myeloid,0,0,0,0,36,27,67,29,694,11,4,28,47,0,13,243,0,79,32,2235,33,0,2,1084,2,382,68,14,171,112,119,17,22,95,944,12,305,78,132,75,396,59,34,56,79,363,186,124,41,162,63,20,244,173,359,1744
B cell,0,0,0,0,167,128,959,18,73,16,0,0,5,1,0,65,0,3,1,45,0,1,0,2,2,28,7,11,0,1,24,5,13,46,136,6,63,523,8,2,4,0,2,0,3,59,14,7,0,36,8,0,2,1,28,17
CD57,0,0,0,0,284,77,205,58,60,0,0,6,5,1,0,146,0,28,15,142,3,0,0,54,1,66,35,8,33,103,228,30,22,85,324,40,251,158,52,16,126,53,22,102,58,115,64,55,23,110,61,21,6,11,33,230
Tumor,181,126,1095,1133,362,36,425,757,59,94,1132,2696,145,465,194,833,25,2021,1597,480,751,1042,2807,1186,241,842,1205,487,1156,1031,1316,509,995,2455,485,4,641,457,955,1369,1549,584,1482,1660,2248,709,187,591,2022,294,751,189,810,354,649,409
CAF,81,83,3282,2168,173,1551,385,2035,1652,3322,4946,815,4843,4711,1963,4031,3567,3473,4119,500,4407,5792,4051,4236,1419,2396,2967,3552,4038,3730,2490,7498,3274,3326,872,98,1576,221,1777,1213,1742,3998,3066,3598,2827,1268,2242,1451,2111,3222,3126,1466,645,97,248,110
CD4,0,1,0,0,294,182,380,152,1004,152,13,65,167,27,44,1066,5,225,319,866,152,0,3,144,50,426,274,292,253,455,372,248,322,711,1360,137,953,782,565,254,704,313,196,312,301,870,269,250,373,414,191,111,226,125,336,180
CD8,0,1,0,0,277,201,278,89,523,123,34,20,522,293,208,661,30,225,52,421,10,1,4,63,31,343,194,775,292,573,724,79,45,181,336,330,869,464,258,124,358,254,134,543,297,656,177,587,124,352,147,69,41,13,141,40
Treg,2541,1360,87,74,0,0,5,2,0,3,6,0,1,8,0,0,4,0,0,0,0,0,1,0,1,2,2,0,1,1,0,0,0,1,0,1,1,3,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
