file_name,cluster,pixel_count,centroid_x,centroid_y
JHH369_ROI004_filtered,CAF,917019,535.2901008594151,546.3554746412016
JHH369_ROI004_filtered,Myeloid,18400,518.5580434782609,510.5369565217391
JHH369_ROI004_filtered,Tumor,121562,655.8713578256363,560.1435070169954
JHH369_ROI004_filtered,CD8,61154,495.21607744383033,622.8962455440363
JHH369_ROI004_filtered,CD4,85397,588.5775144325913,511.70949799173275
JHH369_ROI004_filtered,B cell,1824,513.2752192982456,733.1716009
JHH369_ROI004_filtered,CD57,78,476.29487179487177,700.2692307692307
JHH369_ROI004_filtered,Immune unassigned ,78,823.5,754
JHH387_ROI001_filtered,CAF,702348,481.2097834691634,505.4963949495122
JHH387_ROI001_filtered,Tumor,186543,492.4538202988051,509.06961397640225
JHH387_ROI001_filtered,Myeloid,30036,659.2028565721134,466.4247236649354
JHH387_ROI001_filtered,CD4,52380,654.0169530355097,421.3787514318442
JHH387_ROI001_filtered,CD8,13055,594.4864036767522,518.5939486786672
JHH387_ROI001_filtered,B cell,1038,693.1743737957611,598.5741811175337
JHH387_ROI001_filtered,Immune unassigned ,73,652.4794520547945,588.4657534246576
JHH388_ROI001_filtered,CAF,709268,489.49710405657663,506.7565631044965
JHH388_ROI001_filtered,CD4,50514,558.5285069485687,619.8575246466327
JHH388_ROI001_filtered,Tumor,170477,485.7757703385207,403.08976577485527
JHH388_ROI001_filtered,Myeloid,12532,561.7038780721354,560.2821576763486
JHH388_ROI001_filtered,B cell,5057,646.4018192604311,295.7710105
JHH388_ROI001_filtered,CD8,35397,624.0240416,590.8027798966014
JHH388_ROI001_filtered,CD57,2210,643.8099547511313,538.5090497737557
JHH317_ROI004_filtered,CD4,206591,479.26366105009413,570.0691511
JHH317_ROI004_filtered,CAF,572137,505.18094267631704,499.4004530383457
JHH317_ROI004_filtered,Immune unassigned ,60082,502.98328950434404,499.0232515562065
JHH317_ROI004_filtered,Treg,40986,555.7713853510955,479.07322012394474
JHH317_ROI004_filtered,Tumor,21661,541.5430958866165,479.3634181247403
JHH317_ROI004_filtered,CD8,6504,515.5857933579335,536.6512915129151
JHH317_ROI004_filtered,B cell,96,413.0520833333333,769.3958333333334
JHH317_ROI004_filtered,CD57,369,168.9268292682927,376.14363143631437
JHH317_ROI004_filtered,Myeloid,182,506.3296703296703,618.6703296703297
JHH348_ROI001_filtered,CD4,116174,591.2588100607709,435.6390242222873
JHH348_ROI001_filtered,CAF,573216,526.1243318400045,525.0839160107184
JHH348_ROI001_filtered,B cell,109523,310.97133022287557,380.09724897966635
JHH348_ROI001_filtered,CD8,52111,488.62541497956283,450.35009882750285
JHH348_ROI001_filtered,CD57,1225,190.28571428571428,30.929795918367347
JHH348_ROI001_filtered,Tumor,71776,550.3224058181007,639.5014907489968
JHH348_ROI001_filtered,Myeloid,26881,476.0496633309773,550.7295859529036
JHH348_ROI001_filtered,Immune unassigned ,184,628.0869565217391,197.4945652173913
JHH368_ROI002_filtered,Myeloid,226425,436.49010489124436,550.2018770012145
JHH368_ROI002_filtered,CAF,730222,604.7534434733547,570.1432647
JHH368_ROI002_filtered,CD4,60622,474.9567649,361.3118174919996
JHH368_ROI002_filtered,Tumor,121223,500.66732385768375,591.6901660575963
JHH368_ROI002_filtered,CD8,46846,479.4776074798275,318.0939248
JHH368_ROI002_filtered,B cell,3150,408.9269841269841,211.53936507936507
JHH368_ROI002_filtered,Immune unassigned ,5,614.4,201.8
JHH362_ROI004_filtered,Myeloid,104371,600.9195753609719,535.7203533548591
JHH362_ROI004_filtered,CAF,826620,554.6076407539135,553.3716314630665
JHH362_ROI004_filtered,CD4,149107,510.41148973555903,462.0622707183432
JHH362_ROI004_filtered,Tumor,59196,401.4274613149537,727.6226434218528
JHH362_ROI004_filtered,CD8,40442,571.0591464319272,522.6987043172938
JHH362_ROI004_filtered,B cell,10217,566.5790349417638,581.7558970343545
JHH362_ROI004_filtered,Immune unassigned ,117,638.5213675213676,636.2307692307693
JHH361_ROI001_filtered,CAF,742586,560.0796163676665,549.6293304748541
JHH361_ROI001_filtered,CD8,13008,713.4992312423125,665.1063191881918
JHH361_ROI001_filtered,CD4,87478,658.9303024760511,652.3692929
JHH361_ROI001_filtered,Tumor,282933,485.60089491151615,523.5223745551067
JHH361_ROI001_filtered,Myeloid,66741,582.3046852759173,541.2541616098051
JHH361_ROI001_filtered,CD57,26,391.2692307692308,81.34615384615384
JHH361_ROI001_filtered,B cell,1493,786.4212993971869,696.2009377093101
JHH380_ROI004_filtered,CAF,376519,430.4484049941703,507.5091881153408
JHH380_ROI004_filtered,CD4,130628,576.7786845086812,525.9263481030101
JHH380_ROI004_filtered,CD8,62207,537.5408233800055,523.1118845146044
JHH380_ROI004_filtered,Tumor,111227,640.7091533530528,473.9672741330792
JHH380_ROI004_filtered,B cell,50696,221.73277970648573,469.7797459
